record_id,breed_id,breed,condition_label,condition_name,domain,trust_level,chief_complaint,signal_symptoms,medical_history,clinical_summary
lr-ccl-001,labrador_retriever,Labrador Retriever,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,78,"Progressive right hind limping after repeated fetch sessions.","hindlimb lameness|toe touching|stiff after rest","Overweight middle-aged retriever with weekend sprinting and jumping.","Stifle pain and joint effusion raised concern for partial to complete cranial cruciate ligament rupture."
lr-obesity-001,labrador_retriever,Labrador Retriever,obesity_related,Obesity-related Mobility Disease,metabolic,76,"Exercise intolerance and slowing on neighborhood walks.","weight gain|panting with light activity|reluctance to jump","Indoor Labrador with recent weight gain and fewer daily walks.","Body condition excess was worsening joint strain and reducing exercise tolerance."
lr-ear-001,labrador_retriever,Labrador Retriever,ear_infection_bacterial,Bacterial Otitis Externa,dermatology,74,"Head shaking with foul ear odor for one week.","ear odor|head shaking|red ear canal","Prior allergy flare and frequent swimming.","Warm moist ear canals with debris were most consistent with bacterial otitis externa."
gsd-hip-001,german_shepherd,German Shepherd,hip_dysplasia,Hip Dysplasia,orthopedic,79,"Bunny hopping gait and pain after long runs.","bunny hopping|hindlimb stiffness|difficulty rising","Young adult working-line Shepherd with high exercise volume.","Hip laxity and post-exercise pain fit breed-linked hip dysplasia."
gsd-dm-001,german_shepherd,German Shepherd,degenerative_myelopathy,Degenerative Myelopathy,neurologic,80,"Gradual hind end weakness and nail dragging.","hindlimb weakness|scuffed nails|ataxia","Older Shepherd with progressive rear-limb decline over months.","Progressive non-painful paraparesis raised concern for degenerative myelopathy."
gsd-ls-001,german_shepherd,German Shepherd,lumbosacral_disease,Lumbosacral Stenosis,neurologic,77,"Pain when lifting the tail and jumping into the car.","tail lift pain|reluctance to jump|hindlimb pain","Middle-aged Shepherd used for agility and bite work.","Lumbosacral junction pain and working-dog history fit degenerative lumbosacral disease."
gr-ccl-001,golden_retriever,Golden Retriever,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,76,"Left hind limping after running at the park.","limping|stifle swelling|difficulty rising","Active adult Golden with weekend retrieval drills.","Golden Retriever athletic history plus stifle swelling fit cruciate injury."
gr-derm-001,golden_retriever,Golden Retriever,allergic_dermatitis,Allergic Dermatitis,dermatology,74,"Chewing feet and recurrent hot spots every spring.","itchy paws|ear rubbing|hot spot","History of seasonal allergy flares.","Allergic dermatitis best explained the recurrent paw chewing and moist skin lesions."
gr-mct-001,golden_retriever,Golden Retriever,mast_cell_tumor,Mast Cell Tumor,oncology,78,"Skin lump that changes size and gets red after scratching.","skin mass|redness|itching","Senior Golden with waxing and waning skin nodule.","A changing pruritic cutaneous mass warranted mast cell tumor concern."
fb-airway-001,french_bulldog,French Bulldog,difficulty_breathing,Brachycephalic Airway Syndrome,respiratory,80,"Noisy breathing and cyanosis after mild play in warm weather.","stridor|exercise intolerance|blue gums","Young adult brachycephalic dog with chronic snoring.","Breed conformation and exertional distress fit brachycephalic airway compromise."
fb-ivdd-001,french_bulldog,French Bulldog,ivdd,Intervertebral Disc Disease,neurologic,78,"Sudden neck pain and refusal to jump onto the couch.","neck pain|shaking|front limb weakness","French Bulldog with no trauma but abrupt pain onset.","Breed-linked disc extrusion was high on the list for acute spinal pain."
fb-heat-001,french_bulldog,French Bulldog,heat_stroke,Heat Stroke,emergency,79,"Heavy panting and collapse after a short walk in humid heat.","excessive panting|collapse|brick red gums","Short-muzzled dog exposed to midday heat.","Heat intolerance with collapse in a French Bulldog fit heat stroke until proven otherwise."
bd-airway-001,bulldog,Bulldog,difficulty_breathing,Brachycephalic Airway Syndrome,respiratory,79,"Labored breathing and loud snoring that worsened overnight.","snoring|open mouth breathing|exercise intolerance","Bulldog with chronic airway noise and obesity.","Bulldog airway obstruction was the most likely explanation for worsening respiratory effort."
bd-derm-001,bulldog,Bulldog,allergic_dermatitis,Allergic Dermatitis,dermatology,74,"Face fold redness and itchy paws.","skin fold dermatitis|itching|paw licking","Recurrent skin inflammation during allergy season.","Allergic dermatitis with fold involvement explained the pruritic skin changes."
bd-eye-001,bulldog,Bulldog,cherry_eye,Prolapsed Third Eyelid Gland,ophthalmic,72,"Red bulge at the inner corner of one eye.","red eye mass|watery eye|eye rubbing","Young Bulldog with sudden medial eye swelling.","The focal pink tissue at the third eyelid margin fit cherry eye."
poodle-addison-001,poodle,Poodle,addisons_disease,Addison's Disease,endocrine,79,"Vomiting weakness and slow recovery after a stressful boarding stay.","vomiting|weakness|low appetite","Poodle with episodic GI upset and no toxin history.","Intermittent collapse plus GI signs raised concern for Addisonian crisis."
poodle-ear-001,poodle,Poodle,ear_infection_bacterial,Bacterial Otitis Externa,dermatology,74,"Chronic ear discharge and repeated scratching at one ear.","ear debris|head shaking|canal redness","Dense ear canal hair and prior otitis treatments.","Canal debris and inflammation fit recurrent bacterial otitis externa."
poodle-bloat-001,poodle,Poodle,bloat,Gastric Dilatation,gastrointestinal,72,"Restless pacing with a distended abdomen and nonproductive retching.","retching|distended abdomen|restlessness","Standard Poodle after a large evening meal.","Deep chest and acute gastric distension signs fit early bloat."
beagle-ear-001,beagle,Beagle,ear_infection_bacterial,Bacterial Otitis Externa,dermatology,74,"Strong ear odor and constant head shaking.","ear odor|head shaking|brown discharge","Long-eared Beagle with prior allergy history.","The pendulous ear anatomy and discharge pointed to bacterial otitis externa."
beagle-epi-001,beagle,Beagle,epilepsy,Idiopathic Epilepsy,neurologic,76,"Brief generalized seizure with normal recovery afterward.","seizure|paddling|postictal pacing","Young adult Beagle with no toxin exposure.","Breed-linked idiopathic epilepsy was a key concern after a self-limited generalized seizure."
beagle-obesity-001,beagle,Beagle,obesity_related,Obesity-related Mobility Disease,metabolic,72,"Weight gain and slower stair climbing.","weight gain|exercise intolerance|joint soreness","Food-motivated Beagle with reduced exercise routine.","Excess body condition was worsening mobility and endurance."
rott-ccl-001,rottweiler,Rottweiler,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,78,"Acute hindlimb lameness after turning sharply in the yard.","non weight bearing lameness|stifle pain|toe touching","Large athletic dog with sudden pivot injury.","Stifle instability and breed size favored cruciate rupture."
rott-bone-001,rottweiler,Rottweiler,bone_cancer,Appendicular Osteosarcoma,oncology,80,"Progressive forelimb pain with localized swelling near the wrist.","forelimb pain|swelling|lameness","Middle-aged giant-breed dog with worsening pain at rest.","Breed risk and focal bone pain made osteosarcoma a critical concern."
rott-hip-001,rottweiler,Rottweiler,hip_dysplasia,Hip Dysplasia,orthopedic,75,"Difficulty standing after rest and reduced willingness to run.","hip pain|stiffness|bunny hopping","Young adult Rottweiler with chronic hindlimb stiffness.","Large-breed hip laxity remained a leading explanation for the gait changes."
gsp-bloat-001,german_shorthaired_pointer,German Shorthaired Pointer,bloat,Gastric Dilatation,gastrointestinal,76,"Nonproductive retching and sudden abdominal enlargement after exercise.","retching|abdominal distension|restlessness","Deep-chested sporting dog after water intake and exercise.","Acute gastric distension signs in a pointer warranted urgent bloat concern."
gsp-ccl-001,german_shorthaired_pointer,German Shorthaired Pointer,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,74,"Rear limb lameness after a hard field turn.","hindlimb lameness|stifle pain|swelling","Highly active hunting dog with abrupt pivot injury.","Athletic stifle trauma fit cruciate ligament injury."
gsp-hip-001,german_shorthaired_pointer,German Shorthaired Pointer,hip_dysplasia,Hip Dysplasia,orthopedic,72,"Chronic bunny hopping and stiffness after runs.","bunny hopping|stiff gait|difficulty rising","Young sporting dog with persistent post-exercise soreness.","Hip pain and gait changes stayed consistent with breed-associated hip dysplasia."
dach-ivdd-001,dachshund,Dachshund,ivdd,Intervertebral Disc Disease,neurologic,80,"Sudden back pain and trembling after jumping off furniture.","back pain|shaking|reluctance to move","Long-backed dog with prior mild stiffness episodes.","Acute spinal pain in a Dachshund strongly fit intervertebral disc disease."
dach-obesity-001,dachshund,Dachshund,obesity_related,Obesity-related Mobility Disease,metabolic,74,"Heavy body condition with worsening stair hesitation.","weight gain|reduced stamina|stiff gait","Indoor Dachshund with frequent treats and low activity.","Excess body weight was amplifying mobility complaints and spinal strain."
dach-diabetes-001,dachshund,Dachshund,diabetes,Diabetes Mellitus,endocrine,72,"Drinking more water and losing weight despite normal appetite.","excess thirst|frequent urination|weight loss","Middle-aged Dachshund with gradual household accidents.","Classic polyuria and polydipsia made diabetes mellitus a key endocrine concern."
